Filename,Peak_Counts,Project,Control,Peak_Type,Aligner,Peak_Caller,Deduplicator,Test,Peaks
Namani_with_control_broad_STAR_pepr_picard_test1_peaks,31,Namani,with_control,broad,STAR,pepr,picard,test1,peaks
Namani_with_control_broad_STAR_pepr_picard_test2_peaks,31,Namani,with_control,broad,STAR,pepr,picard,test2,peaks
Namani_with_control_broad_STAR_pepr_picard_test3_peaks,31,Namani,with_control,broad,STAR,pepr,picard,test3,peaks
Namani_with_control_broad_STAR_pepr_sambamba_test1_peaks,31,Namani,with_control,broad,STAR,pepr,sambamba,test1,peaks
Namani_with_control_broad_STAR_pepr_sambamba_test2_peaks,31,Namani,with_control,broad,STAR,pepr,sambamba,test2,peaks
Namani_with_control_broad_STAR_pepr_sambamba_test3_peaks,31,Namani,with_control,broad,STAR,pepr,sambamba,test3,peaks
Namani_with_control_broad_STAR_pepr_samtools_test1_peaks,31,Namani,with_control,broad,STAR,pepr,samtools,test1,peaks
Namani_with_control_broad_STAR_pepr_samtools_test2_peaks,31,Namani,with_control,broad,STAR,pepr,samtools,test2,peaks
Namani_with_control_broad_STAR_pepr_samtools_test3_peaks,31,Namani,with_control,broad,STAR,pepr,samtools,test3,peaks
Namani_with_control_broad_bowtie2_cisgenome_no_deduplication_test1_peaks,6314,Namani,with_control,broad,bowtie2,cisgenome,no_deduplication,test1,peaks
Namani_with_control_broad_bowtie2_cisgenome_no_deduplication_test2_peaks,6314,Namani,with_control,broad,bowtie2,cisgenome,no_deduplication,test2,peaks
Namani_with_control_broad_bowtie2_cisgenome_no_deduplication_test3_peaks,6314,Namani,with_control,broad,bowtie2,cisgenome,no_deduplication,test3,peaks
Namani_with_control_broad_bowtie2_cisgenome_picard_test1_peaks,3504,Namani,with_control,broad,bowtie2,cisgenome,picard,test1,peaks
Namani_with_control_broad_bowtie2_cisgenome_picard_test2_peaks,3504,Namani,with_control,broad,bowtie2,cisgenome,picard,test2,peaks
Namani_with_control_broad_bowtie2_cisgenome_picard_test3_peaks,3504,Namani,with_control,broad,bowtie2,cisgenome,picard,test3,peaks
Namani_with_control_broad_bowtie2_cisgenome_sambamba_test1_peaks,3504,Namani,with_control,broad,bowtie2,cisgenome,sambamba,test1,peaks
Namani_with_control_broad_bowtie2_cisgenome_sambamba_test2_peaks,3504,Namani,with_control,broad,bowtie2,cisgenome,sambamba,test2,peaks
Namani_with_control_broad_bowtie2_cisgenome_sambamba_test3_peaks,3504,Namani,with_control,broad,bowtie2,cisgenome,sambamba,test3,peaks
Namani_with_control_broad_bowtie2_cisgenome_samtools_test1_peaks,3504,Namani,with_control,broad,bowtie2,cisgenome,samtools,test1,peaks
