File Name,Project,Control,Peak Type,Aligner,Peak Caller,Deduplicator,Test,Peak Counts
Namani_no_control_narrow_bowtie2_macs3_no_deduplication_test1_peaks,Namani,no_control,narrow,bowtie2,macs3,no_deduplication,test1,2808
Namani_no_control_narrow_bowtie2_macs3_no_deduplication_test2_peaks,Namani,no_control,narrow,bowtie2,macs3,no_deduplication,test2,2808
Namani_no_control_narrow_bowtie2_macs3_no_deduplication_test3_peaks,Namani,no_control,narrow,bowtie2,macs3,no_deduplication,test3,2808
Namani_no_control_narrow_bowtie2_macs3_picard_test1_peaks,Namani,no_control,narrow,bowtie2,macs3,picard,test1,2808
Namani_no_control_narrow_bowtie2_macs3_picard_test2_peaks,Namani,no_control,narrow,bowtie2,macs3,picard,test2,2808
Namani_no_control_narrow_bowtie2_macs3_picard_test3_peaks,Namani,no_control,narrow,bowtie2,macs3,picard,test3,2808
Namani_no_control_narrow_bowtie2_macs3_sambamba_test1_peaks,Namani,no_control,narrow,bowtie2,macs3,sambamba,test1,2808
Namani_no_control_narrow_bowtie2_macs3_sambamba_test2_peaks,Namani,no_control,narrow,bowtie2,macs3,sambamba,test2,2808
Namani_no_control_narrow_bowtie2_macs3_sambamba_test3_peaks,Namani,no_control,narrow,bowtie2,macs3,sambamba,test3,2808
Namani_no_control_narrow_bowtie2_macs3_samtools_test1_peaks,Namani,no_control,narrow,bowtie2,macs3,samtools,test1,2808
Namani_no_control_narrow_bowtie2_macs3_samtools_test2_peaks,Namani,no_control,narrow,bowtie2,macs3,samtools,test2,2808
Namani_no_control_narrow_bowtie2_macs3_samtools_test3_peaks,Namani,no_control,narrow,bowtie2,macs3,samtools,test3,2808
Namani_no_control_narrow_bwa_mem_genrich_no_deduplication_test1_peaks,Namani,no_control,narrow,bwa_mem,genrich,no_deduplication,test1,314155
Namani_no_control_narrow_bwa_mem_genrich_no_deduplication_test2_peaks,Namani,no_control,narrow,bwa_mem,genrich,no_deduplication,test2,314155
Namani_no_control_narrow_bwa_mem_genrich_no_deduplication_test3_peaks,Namani,no_control,narrow,bwa_mem,genrich,no_deduplication,test3,314155
Namani_no_control_narrow_bwa_mem_genrich_picard_test1_peaks,Namani,no_control,narrow,bwa_mem,genrich,picard,test1,226442
Namani_no_control_narrow_bwa_mem_genrich_picard_test2_peaks,Namani,no_control,narrow,bwa_mem,genrich,picard,test2,226442
Namani_no_control_narrow_bwa_mem_genrich_picard_test3_peaks,Namani,no_control,narrow,bwa_mem,genrich,picard,test3,226442
Namani_no_control_narrow_bwa_mem_genrich_sambamba_test1_peaks,Namani,no_control,narrow,bwa_mem,genrich,sambamba,test1,226442
Namani_no_control_narrow_bwa_mem_genrich_sambamba_test2_peaks,Namani,no_control,narrow,bwa_mem,genrich,sambamba,test2,226442
Namani_no_control_narrow_bwa_mem_genrich_sambamba_test3_peaks,Namani,no_control,narrow,bwa_mem,genrich,sambamba,test3,226442
Namani_no_control_narrow_bwa_mem_genrich_samtools_test1_peaks,Namani,no_control,narrow,bwa_mem,genrich,samtools,test1,226442
Namani_no_control_narrow_bwa_mem_genrich_samtools_test2_peaks,Namani,no_control,narrow,bwa_mem,genrich,samtools,test2,226442
